Course,Section,Grade,Letter,Standing,Credits Earned,Session,Term,Program,Year,Class Avg
COSC 304,1,80,A-,,3,2019W,1,BSC-O,3,
COSC 310,1,  ,,,           ,2019W,2,BSC-O,3,
COSC 320,1,  ,,,           ,2019W,2,BSC-O,3,
COSC 328,1,  ,,W,           ,2019W,1,BSC-O,3,
COSC 341,1,  ,,,           ,2019W,2,BSC-O,3,
ECON 102,102,  ,,,           ,2019W,2,BSC-O,3,
MATH 312,1,62,C,,3,2019W,1,BSC-O,3,
MATH 317,1,  ,,,           ,2019W,2,BSC-O,3,
PHIL 331,1,51,D,,3,2019W,1,BSC-O,3,
COSC 407,101,79,B+,,3,2019S,2,BSC-O,2,
COSC 114,101,74,B,,3,2018W,2,BSC-O,2,
COSC 211,1,86,A,,3,2018W,1,BSC-O,2,
COSC 221,101,68,B-,,3,2018W,2,BSC-O,2,
COSC 222,1,84,A-,,3,2018W,1,BSC-O,2,
FREN 103,105,83,A-,,3,2018W,2,BSC-O,2,
MATH 200,1,96,A+,,3,2018W,1,BSC-O,2,
MATH 221,101,76,B+,,3,2018W,2,BSC-O,2,
SPAN 101,5,93,A+,,3,2018W,1,BSC-O,2,
SPAN 102,3,78,B+,,3,2018W,2,BSC-O,2,
STAT 230,2,79,B+,,3,2018W,1,BSC-O,2,
CHEM 121,2,77,B+,,3,2017W,1,BSC-O,1,
CHEM 123,2,81,A-,,3,2017W,2,BSC-O,1,
COSC 111,1,95,A+,,3,2017W,1,BSC-O,1,
COSC 121,1,96,A+,,3,2017W,2,BSC-O,1,
ENGL 112,10,80,A-,,3,2017W,1,BSC-O,1,
ENGL 150,104,50,D,,3,2017W,2,BSC-O,1,
MATH 100,2,93,A+,,3,2017W,1,BSC-O,1,
MATH 101,102,97,A+,,3,2017W,2,BSC-O,1,
PHYS 111,1,93,A+,,3,2017W,1,BSC-O,1,
PHYS 121,101,89,A,,3,2017W,2,BSC-O,1,
COSM 406,101,79,B+,,3,2019S,2,BSC-O,2,
COSA 406,101,79,B+,,3,2018S,2,BSC-O,2,
